timestamp,forecast_cloud_cover,forecast_temp_c,forecast_wind_ms,forecast_humidity_pct,measured_poa_wm2,measured_module_temp_c,measured_ambient_temp_c,rainfall_mm,status,ac_power_kw
2024-01-01 00:00:00,0.124,17.1,2.81,51.0,0.0,16.12,16.1,0.0,STANDBY,0.0
2024-01-01 01:00:00,0.15,15.7,2.24,54.0,0.0,15.91,16.04,0.0,STANDBY,-7.54
01-01-2024 02:00,0.202,15.5,2.13,56.0,0.0,14.52,14.99,0.0,STANDBY,-5.91
2024-01-01 03:00:00,0.098,15.5,2.59,58.0,0.0,15.09,15.26,0.0,STANDBY,-10.04
2024-01-01 04:00:00,0.067,15.0,2.48,53.0,0.0,15.29,15.57,0.0,STANDBY,0.0
2024-01-01 05:00:00,0.081,15.8,2.73,54.0,0.0,14.87,15.77,0.0,STANDBY,0.0
2024-01-01 06:00:00,0.168,17.1,2.83,51.0,4.3,16.66,16.82,0.0,STANDBY,12.56
2024-01-01 07:00:00,0.192,18.6,3.27,51.0,120.3,20.65,18.41,0.0,run,1206.96
2024-01-01 08:00:00,0.145,19.6,3.37,45.0,371.6,28.95,20.24,0.0,RUN,3881.26
2024-01-01 09:00:00,0.073,22.0,2.88,40.0,566.6,34.72,22.05,0.0,RUN,6270.93
2024-01-01 10:00:00,0.194,23.2,3.03,41.0,759.4,39.9,23.6,0.0,RUN,8053.23
2024-01-01 11:00:00,0.216,24.5,3.31,41.0,876.0,43.04,24.54,0.0,RUN,9110.17
2024-01-01 13:00:00,0.349,26.7,3.55,36.0,844.7,43.34,26.75,0.0,RUN,8777.13
2024-01-01 14:00:00,0.191,28.1,3.63,31.0,732.1,43.21,27.85,0.0,RUN,7655.83
2024-01-01 15:00:00,0.141,28.1,3.44,29.0,529.7,39.38,27.22,0.0,RUN,5776.01
2024-01-01 16:00:00,0.177,27.9,3.03,28.0,304.9,34.1,28.2,0.0,RUN,3148.41
2024-01-01 17:00:00,0.156,26.8,3.14,30.0,82.5,28.35,27.28,0.0,RUN,742.32
2024-01-01 18:00:00,0.123,25.7,2.82,33.0,0.0,25.59,26.8,0.0,STANDBY,0.0
